"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Obgyn","Obgyn","PROLAPS TALI PUSAT","pmb","Seorang wanita usia 34 tahun G3P2A0 UK 39 minggu datang ke Puskesmas dengan keluhan perut mulas sejak 6 jam lalu. Keluhan lain air ketuban rembes sejak 1 jam lalu. Pemeriksaan dalam teraba cervix terbuka 6 cm dan teraba tali pusar di jalan lahir. Apakah diagnosis pada pasien ini?","","Tali pusat terkemuka","Tali pusat menumbung","Occult cord prolapse","Vasa previa","Plasenta letak rendah","B"
"kedokteran","Obgyn","Obgyn","RUPTUR UTERI","pmb","Seorang ibu usia 22 tahun hamil 38 minggu datang ke UGD Puskesmas dengan keluhan perut mulas disertai keluarnya lendir darah sejak 12 jam yang lalu. Saat mengejan terjadi perdarahan dari jalan lahir dan pasien kehilangan kesadaran. Pemeriksaan fisik TD 60/palpasi, HR 182 x/menit, RR 28 x/menit, suhu 35.0 C, TFU tidak teraba, DJJ (-). Apakah tatalaksana yang tepat pada pasien ini?","","Histerektomi","Persalinan forseps","Balon kateter intrauteri","Rujuk Rumah Sakit setelah resusitasi","Perineoraphy","D"
"kedokteran","Obgyn","Obgyn","GANGGUAN LAKTASI","pmb","Seorang wanita usia 25 tahun P1A0 datang ke Puskesmas dengan keluhan payudara kanan dan kiri nyeri sejak 2 hari yang lalu. Pemeriksaan fisik TD 110/70 mmHg, HR 82 x/menit, RR 20 x/menit, T 36,7 ̊C. Status lokalis tampak kedua payudara simetris, hiperemis, ulkus (-), dan fluktuasi (-). Apakah tatalaksana simptomatik pada pasien ini?","","Insisi drainase","Antibiotik","Aspirasi","Analgetik","Berhenti laktasi","D"
"kedokteran","Obgyn","Obgyn","GANGGUAN LAKTASI","pmb","Pasien perempuan usia 25 tahun datang ke PKM dengan keluhan nyeri payudara kanan. Pemeriksaan fisik TD 120/70 mmHg, HR 85 x/menit, RR 20 x/menit, T 39,5 C. Status lokalis area mamae dextra tampak lecet, kemerahan, nyeri tekan, fluktuasi (-). Apakah tatalaksana medikamentosa pada pasien ini?","","Insisi drainase","Kompres hangat","Aspirasi sumbatan","Eritromisin 750 mg/12 jam","Kloksasilin 500 mg/6 jam","E"
"kedokteran","Obgyn","Obgyn","ASUHAN PERSALINAN NORMAL","pmb","Seorang wanita usia 30 tahun melahirkan anak kedua dengan berat lahir 2.750 gram. 20 menit kemudian plasenta lahir. Pemeriksaan fisik TD 110/60 mmHg, HR 83 x/menit, RR 20 x/menit, T 36,6 ̊C. TFU 2 jari di bawah pusar, teraba keras dan bulat. Tidak tampak robekan pada jalan lahir. Apakah tatalaksana yang tepat pada pasien ini?","","Perineorafi","Manual plasenta","Monitor KU, VS per 15 menit","Monitor KU, VS per 30 menit","Traksi tali pusar terkendali","C"
"kedokteran","Obgyn","Obgyn","PERSALINAN PRETERM","pmb","Seorang wanita usia 29 tahun G1P0A0 UK 33 minggu datang ke RS dengan keluhan mules seperti ingin BAB, flek lender darah dan air ketuban rembes sejak 4 jam lalu. Pemeriksaan fisik TD 100/60 mmHg, HR 83 x/menit, RR 20 x/menit, T 36,6 ̊C, TFU 28 cm, dan DJJ 146 x/menit, cervix terbuka 3 cm. Apakah tatalaksana pematangan paru yang tepat pada pasien ini?","","IV Deksametasone 6mg/12 jam selama 48 jam","IV Betametasone 12 mg/6 jam selama 48 jam","IV Deksametasone 12 mg/24 jam selama 48 jam","IV Betametasone 6 mg/12 jam selama 48 jam","IV Betametasone 6 mg/24 jam selama 48 jam","A"
"kedokteran","Obgyn","Obgyn","KORIOKARSINOMA","pmb","Seorang wanita usia 26 tahun datang ke Poli Kandungan dengan keluhan keluar perdarahan dari jalan lahir, yang ada sejak 1 bulan yang lalu. Pasien post kuretase hamil anggur pada 6 bulan yang lalu. Dari pemeriksaan fisik didapatkan tensi 110/70 mmHg, nadi 98 x/menit, RR 22 x/menit, suhu 36.8°C. Dari pemeriksaan didapatkan TFU setinggi antara simfisis dan umbilikus. Pada pemeriksaan histologis tampak sel trofoblas yang sangat proliferatif dan menginfiltrasi hingga ke miometrium. Apakah penyebab etiologi yang mengarah ke keganasan tersebut?","","Displasia squamocolumnar junction","Mola hidatidosa komplit","Leiomyoma","Mola hidatidosa parsial","Endometriosis","B"
"kedokteran","Obgyn","Obgyn","KORIOAMNIONITIS","pmb","Seorang wanita 29 tahun G2P1A0 usia kehamilan 36 minggu datang ke Puskesmas dengan keluhan keluar cairan yang berbau dari jalan lahir sejak 2 jam yang lalu. Dari pemeriksaan fisik didapatkan tensi 110/70 mmHg, nadi 105 x/menit, RR 22 x/menit, suhu 39.5°C. Pada pemeriksaan didapatkan DJJ 170 x/menit dan nyeri tekan pada fundus saat berkontraksi. Apakah diagnosis yang paling tepat?","","Korioamnionitis","Ketuban pecah dini","Torsio kista ovari","Kehamilan ektopik terganggu","Mola hidatidosa","A"
"kedokteran","Obgyn","Obgyn","HIPERTENSI DALAM KEHAMILAN","pmb","Seorang perempuan usia 34 tahun, G1P0A0 hamil 36 minggu datang ke UGD RS dengan keluhan kejang dua kali di pukesmas. Kejang didahului dengan nyeri kepala dan nyeri ulu hati 2 jam sebelumnya. Pada pemeriksaan, didapatkan TD 180/110 mmHg, nadi 82 x/menit, pernapasan 15 x/menit, dan suhu 37.5C. Pemeriksaan dalam menunjukkan belum adanya pembukaan. Apakah tatalaksana definitive yang paling tepat?","","Induksi persalinan","SC","Forcep","Vakum","Konservatif sampai aterm","B"
"kedokteran","Obgyn","Obgyn","FISTULA UROGENITAL","pmb","Seorang wanita usia 30 tahun datang ke Poli Kandungan dengan keluhan BAK keluar dari vagina. Pasien memiliki riwayat melahirkan bayi berukuran besar. Dari pemeriksaan fisik didapatkan tensi 120/70 mmHg, nadi 88 x/menit, RR 20 x/menit, suhu 36.8°C. Apakah diagnosis yang paling tepat?","","Fistula vesikovaginal","Prolaps uteri","Fistula rektovaginal","Inkontinensia stress","Fistula rektovesikal","A"
"kedokteran","Obgyn","Obgyn","PLASENTA PREVIA","pmb","Seorang wanita G2P1A0 dengan usia kehamilan 28 minggu datang ke UGD RS dengan keluhan perdarahan dari jalan lahir. Pasien tidak mengeluh nyeri dan pada pemeriksaan tanda – tanda vital didapatkan dalam batas normal. Pada pemeriksaan USG didapatkan plasenta yang menutupi seluruh ostium uteri. Apakah diagnosis pada pasien ini?","","Plasenta previa partialis","Plasenta letak rendah","Plasenta previa marginalis","Plasenta previa totalis","Vasa previa","D"
"kedokteran","Obgyn","Obgyn","ISK DALAM KEHAMILAN","pmb","Seorang wanita 25 tahun G1P0A0, hamil 19 minggu datang dengan keluhan nyeri saat berkemih sejak 3 hari yang lalu. Nyeri dirasakan seperti panas. Urin berwarna kuning tanpa darah. Pada pemeriksaan tanda vital didapatkan tekanan darah 110/70 mmHg, denyut nadi 80x/menit, frekuensi napas 22x/menit, suhu 37,9C. Pada pemeriksaan fisik ditemukan nyeri pada penekanan suprapubis, nyeri ketok CVA (-/-). Pemeriksaan obstetri dalam batas normal. Terapi yang paling tepat diberikan pada pasien adalah...","","Ciprofloxacin","Amoksisilin","Kloramfenikol","Cotrimoxazole","Doksisiklin","B"
"kedokteran","Obgyn","Obgyn","MYOMA UTERI/LEIOMYOMA","pmb","Seorang wanita berusia 32 tahun datang ke RS dengan keluhan terdapat benjolan di perut bagian bawah sejak 8 bulan yang lalu. Keluhan disertai dengan nyeri hebat dan perdarahan banyak setiap mens. Pasien merasa sulit BAB dan BAK sejak 2 bulan lalu. Pemeriksaan tanda vital dalam batas normal. Pada pemeriksaan ginekologis didapatkan uterus berukuran sebesar kehamilan 8 minggu, konsistensi padat, kenyal, dan berbatas tegas. Pemeriksaan kehamilan kualitatif negatif. Apakah diagnosis pada kasus ini?","","Leiomyoma","Tumor abdominal","Abses tuba ovari","Mola hidatidosa","Endometritis","A"
"kedokteran","Obgyn","Obgyn","KONTRASEPSI","pmb","Seorang wanita berusia 30 tahun datang untuk konsultasi pemilihan metode kontrasepsi menjarangkan kehamilan. Saat ini pasien sudah memiliki 2 orang anak. Anak pasien berusia 6 dan 3 tahun. Pasien memiliki alergi tembaga. Tidak ada riwayat penyakit hipertensi, kelainan jantung, autoimun dan keganasan. Apakah Metode kontrasepsi yang paling cocok untuk kondisi pasien?","","AKDR","Suntik Progestin per 3 bulan","Pil KB Kombinasi","Implan","Tubektomi","B"
"kedokteran","Obgyn","Obgyn","KEHAMILAN POSTMATUR","pmb","Seorang wanita usia 40 tahun G3P2A0 UK 43+4 minggu datang ke RS untuk periksa kehamilan. Pasien tidak ada keluhan. Pasien tidak merasakan kencang – kencang, flek dan air ketuban rembes. Pemeriksaan fisik TD 120/80 mmHg, HR 84 x/menit, RR 20 x/menit, T 36,6 ̊C, TFU 32 cm, DJJ 140 x/menit. Pemeriksaan dalam belum ada pembukaan dengan STLD negatif. Apakah komplikasi pada janin yang dapat terjadi pada pasien ini?","","Oligohidramnion","Polihidramnion","IUGR","Neural tube defect","Hyaline Membrane Disease","A"
