"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 30 tahun dibawa ke IGD karena mengalami keluhan nyeri kepala, muntah dan keluar banyak air liur dari mulutnya. Pasien terlihat cemas dan mengatakan adanya hantu di sudut ruangan. Menurut keluarga, pasien digigit oleh anjing liar 2 minggu yang lalu saat akan pulang dari kebun. Riwayat pengobatan tidak ada. Apakah stadium klinis yang dialami oleh pasien ?","","Sensorik","Eksitasi","Prodromal","Paralisis","Inkubasi","B"
"kedokteran","Komprehensif","","","pmb","Anak laki-laki berusia 6 tahun dibawa oleh orang tuanya ke IGD dengan keluhan ujung kemaluannya bengkak dan sakit. Ibu pasien mengatakan saat BAK anak suka menarik ujung kemaluannya. Riwayat trauma disangkal. Pada pemeriksaan genital tampak edema pada glans penis dan preputium tampak menjepit di corona glans. Apakah tatalaksana yang tepat pada kasus di atas?","","Pemberian antibiotik topikal","Pemberian kortikosteroid topical","Observasi","Dorsumsisi","Pemasangan kateter urin","D"
"kedokteran","Komprehensif","","","pmb","Seorang anak laki-laki 3 tahun dibawa ke IGD RS oleh ibunya dengan luka bakar akibat bermain dengan korek api sekitar 1 jam yang lalu. Anak tampak menangis kesakitan. Menurut ibunya, sebelum dibawa ke IGD luka bakar anaknya telah disiram dengan air mengalir selama 10 menit. Didapatkan berat badan anak 15 kg, tinggi badan 110 cm. Pada pemeriksaan didapatkan adanya luka bakar pada daerah wajah, kepala dan seluruh kaki kanan, dasar berwarna merah dengan bulla di atasnya, nyeri (+). Berapakah persen luka bakar pada pasien di atas?","","27%","30.50%","32%","40%","42.50%","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 22 tahun diantar ke IGD setelah mengalami kecelakaan lalu lintas. Pasien tampak kebingungan dan mengeluhkan nyeri pada paha kanannya. Setelah dilkakukan pemeriksaan didapatkan luka robek dan deformitas pada paha kanan pasien dengan perdarahan aktif. Tanda vital didapatkan tekanan darah 85/55 mmHg, HR 121x/min, RR 31x/min, dan suhu 37C. Dari kondisi tersebut berapakah kemungkinan jumlah kehilangan darah pada pasien ?","","<500 mL","500-750 mL","750-1500 mL","1500-2000 mL",">2000 mL","D"
"kedokteran","Komprehensif","","","pmb","Seorang anak laki-laki berusia 9 tahun dibawa orang tuanya ke IGD karena mengeluhkan nyeri pada genital secara mendadak saat bangun tidur 1 jam yang lalu. Keluhan nyeri ini baru pertama kali dirasakan. Keluhan disertai dengan mual tetapi tidak muntah. Demam disangkal. Pada pemeriksaan didapatkan pada bagian testis kiri tampak eritem, edema dan letaknya lebih tinggi serta horizontal. Saat dilakukan pengangkatan skrotum, anak berteriak kesakitan. Apakah diagnosis pada pasien di atas?","","Epididimitis","Orkitis","Torsio appendix testis","Torsio testis","Varikokel","D"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 58 tahun datang ke poliklinik dengan keluhan nyeri pada kaki kiri yang dirasakan saat berjalan dengan jarak kurang lebih 100 m. Keluhan sudah dirasakan sejak 1 tahun terakhir namun hanya terasa saat berjalan. Pasien juga mengeluhkan jarak tempuh semakin lama semakin pendek dan sering berhenti karena nyeri. Keluhan nyeri berkurang dengan istirahat. Pasien menderita hipertensi tetapi tidak terkontrol. Pada pemeriksaan fisik ekstremitas inferior sinistra didapatkan pulsasi a. dorsalis pedis dan a. tibialis posterior teraba lemah. Apakah tatalaksana yang tepat pada kasus di atas?","","IV Heparin","Cilostazol","LMWH","Fondaparinux","Dabigatran","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 24 tahun dilarikan ke rumah sakit setelah menjadi korban pemukulan oleh oknum yang tidak dikenal sekitar 1 jam yang lalu. Pasien tampak gelisah dan sesak napas. Periksaan vital sign BP 100/60 mmHg, HR 98x/menit, RR 28x/menit, suhu afebris. Tampak jejas pada dada kiri, inspeksi paru kiri tertinggal, auskultasi hemithorax sinistra melemah, perkusi hemithorax sinistra redup. Hasil X-Ray thorax sebagai berikut : Apakah tatalaksana awal yang tepat ?","","Plester 3 sisi","Adhesive plaster strapping","Needle thoracosintesis","Thoracotomy","Water sealed drainage","E"
"kedokteran","Komprehensif","","","pmb","Seorang perempuan berusia 32 tahun datang ke poliklinik dengan keluhan nyeri pada pinggang kiri yang dirasakan sejak 1 bulan lalu, memberat dalam 3 hari terakhir. Nyeri tidak menjalar. Ada riwayat kencing berwarna merah. Tanda vital dalam batas normal. Pemeriksaan fisik didapatkan nyeri ketok CVA kiri (+). Pemeriksaan urinalisa didapatkan eritrosit +4. Foto BNO abdomen tampak gambaran radioopaque berbentuk tanduk rusa setinggi L2 kiri. Apakah diagnosis yang paling tepat ?","","Nefrolithiasis sinistra","Ureterolithiasis distal sinistra","Ureterolithiasis proximal sinistra","Ureterolithiasis media sinistra","Urethrolithiasis","A"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 40 tahun datang ke poliklinik dengan keluhan adanya benjolan pada lipatan paha kiri yang dirasakan sejak 1 bulan yang lalu. Benjolan dirasakan hilang timbul, hilang saat berbaring dan muncul kembali saat batuk. Dari pemeriksaan tanda vital dalam batas normal. Pemeriksaan didapatkan massa di inguinal sinistra, massa dapat dimasukkan dan muncul saat manuver valsava. Finger test : massa teraba di ujung jari. Apakah diagnosis pada kasus di atas?","","Hernia femoralis","Hernia inguinalis","Hernia skrotalis","Hernia umbilikalis","Hernia pantalon","B"
"kedokteran","Komprehensif","","","pmb","Seorang pria berusia 45 tahun datang ke poliklinik dengan keluhan BAB berdarah sejak 1 minggu yang lalu. Pasien mengatakan saat BAB keluar benjolan pada anusnya dan dapat masuk kembali tanpa bantuan jari. Pasien jarang mengonsumsi sayur dan buah-buahan. Pemeriksaan tanda vital dalam batas normal. Pemeriksaan colok dubur didapatkan massa pada rectum arah jam 1 konsistensi kenyal. Apakah diagnosis pada kasus di atas?","","Hemoroid externa","Hemoroid interna grade 1","Hemoroid interna grade 2","Hemoroid interna grade 3","Hemoroid interna grade 4","C"
