"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","THT-KL","THT-KL","Tonsilitis Kronis","pmb","Anak laki2 8th datang ke poliklinik dengan keluhan tidur mengorok sejak setahun yang lalu. Pada pemeriksaan fisik didapati pembesaran tonsil T3-T3 tidak hiperemis, kripta melebar, dan detritus(+). Pemeriksaan fisik mana yg memperlihatkan adanya tonsilitis kronis?","","detritus","tidur mengorok","tidak hiperemis","pembesaran tonsil","kripte melebar","E"
"kedokteran","THT-KL","THT-KL","Rhinosinusitis","pmb","Seorang laki-laki usia 26 tahun mengeluh sering pilek, nyeri tekan di pipi dan dahi sejak 3 bulan ini. Sekret yang keluar berwarna hijau kental. Pemeriksaan penunjang yang tepat?","","Nasoendoskopi, roentgen waters","Nasoendoskopi, komputer tomografi","Komputer tomografi, roentgen waters","Komputer tomografi, nasoendoskopi","Roentgen waters, rontgen Caldwell","B"
"kedokteran","THT-KL","THT-KL","Foreign body nose","pmb","Anak 3th datang dibawa ibunya karena memasukkan manik manik kedalam hidung. Pada pemeriksaan rinoskopi anterior didapatkan sekret mukoid dan benda bulat berwarna biru mengkilap. Alat apakah yang sebaiknya digunakan untuk ekstraksi?","","Klem lurus panjang","Pinset hidung","Pinset anatomis","Suction","Ekstraktor hook","E"
"kedokteran","THT-KL","THT-KL","Rhinosinusitis","pmb","Seorang anak 2 tahun datang dengan keluhan hidung berbau sejak 3 hari. demam 1 hari ini. Riwayat sakit yang sama 1 minggu lalu, dibawa ke dokter dan membaik dengan obat. Pemeriksaan rhinoskopi anterior didapatkan sekret kental di hidung kanan. Tatalaksana yang tepat untuk kasus tersebut?","","Ekstraksi korpus alienum","Irigasi sinus","Pemberian antibiotik","Pemberian nasal dekongestan","Pemberian steroid","B"
"kedokteran","THT-KL","THT-KL","Rhinitis alergi","pmb","Seorang laki-laki usia 20 th datang dengan keluhan hidung tersumbatsecara bergantian, Sekret cair dan jernih. Keluhan terutama dirasakan setiap pagi hari dan saat terkena debu. Ibu pasien memiliki riwayat sesak bila mengkonsumsi ikan laut. Diagnosa pada pasien iniadalah?","","Rinitis Alergi","Rinitis viral","Sinusitis","Sindroma kobener","Rhinitis vasomotor","A"
"kedokteran","THT-KL","THT-KL","Rhinosinusitis","pmb","Seorang laki2 35 tahun datang dengan keluhan pilek sejak 2 minggu yang lalu. Hidung tersumbat dan dirasakan nyeri pada wajah. Tenggorok terasa berlendir(+). Demam dan kadang disertai batuk. Pemeriksaan fisik TTV dbn. Didapatkan konka hiperemis, sekret mukopurulen di meatus media media dan nyeri ketok wajah. Diagnosa pada pasien ini?","","Faringitis akut","Rhinitis kronik","Rhinitis akut","Rhinosinusistis akut","Rhinitis alergi","D"
"kedokteran","THT-KL","THT-KL","Hematoma septum","pmb","Laki2 25 tahun mengeluhkan nyeri hidung sebelah kanan setelah terkena tinju temannya. Pada rinoskopi anterior tampak septum bengkak, hiperemis, dan fluktuatif. Setelah dilakukan pungsi didapatkan berisi darah. Apa komplikasi yang dapat muncul pada pasien?","","Vestibulitis","Sinusitis","Abses septum","Perforasi septum","Polip","C"
"kedokteran","THT-KL","THT-KL","Rhinitis alergi","pmb","Seorang wanita 32 tahun datang dengan keluhan hidung gatal dan sering bersin-bersin sejak 1 tahun yang lalu. Dari hidung keluar cairan encer yang dirasakan terus menerus setiap hari sampai mengganggu konsentrasi saat bekerja. Pemeriksaan hidung didapatkan kavum nasi sempit, konka oedem, tidak terdapat cairan serosa. Diagnosis:","","Rhinitis alergi intemiten sedang","Rhinitis alergi persisten sedang-berat","Rhinitis alergi persisten ringan","Rhinitis alergi persisten sedang","Rhinitis alergi persisten berat","B"
"kedokteran","THT-KL","THT-KL","Rhinitis vasomotor","pmb","Pasien datang dengan keluhan hidung tersumbatsejak 10 hari yang lalu, satu sisi, bergantian kiri dan kanan tergantung posisi tidur pasien. Selain itu pasien juga mengeluh keluar ingus kadang sedikit kental, jarang disertai bersin dan tidak disertai gatal pada mata. Pasien tidak memiliki riwayat alergi di keluarga. Diagnosis yang mungkin pada pasien ini adalah","","Rhinitis vasomotor","Rhinitis akut","Laryngitis akut","Rhinitis alergi","Rhinitis sika","A"
"kedokteran","THT-KL","THT-KL","Rhinosinusitis","pmb","Laki laki 11 tahun datang dengan keluhan demam disertai batuk dan pilek dengan sekret yg purulen dan berbau. Memiliki riwayat sejak usia 5 tahun sering batuk pilek dengan sekret yg bening. Pada pemeriksaan di dapatkan demam 38 derajat, nyeri serta kemerahan pada pipi kanan, pada RA di dapatkan sekret purulen pada meatus nasi kanan. Penyebab tersering adalah","","Haemophilus influenzae","Streptococcus pneumonia","Stapylococcus aureus","Pseudomonas aeruginosa","Moraxella catarrhalis","B"
