"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang dokter melakukan penelitian mengenai Diabetes Melitus pada beberapa pasien. Dokter tersebut mengikuti selama beberapa tahun. Lalu ada seorang pasien yang tiba-tiba mengundurkan diri dari penelitian tersebut, namun dokter tidak mengizinkan dan memberikan sejumlah uang pada pasien agar ia tetap mengikuti penelitian tersebut. Kaidah dasar etik yang dilanggar oleh dokter tersebut adalah?","","Autonomy","Beneficience","Justice","Veracity","Confidentally","A"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang perempuan berusia 38 tahun datang ke poliklinik karena mempunyai tumor ganas leher rahim sejak 1 tahun yang lalu. Pasien meminta kepada dokter spesialis kandungan untuk dilakukan Euthanasia karena merasa tidak tahan dengan rasa nyeri yang dialaminya dan mengetahui harapan hidupnya kecil. Dilema etik apa yang dialami dokter saat menghadapi pasien tersebut ?","","Justice - Beneficence","Beneficence - Autonomy","Justice - Non Maleficence","Non maleficence - Autonomy","Beneficence - Non Maleficence","D"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang dokter diminta oleh perusahan untuk memeriksa seorang sopir perusahan. Ternyata, diketahui pasien memiliki riwayat kejang dan juga terdiagnosis epilepsi. Apa tindakan dokter yang tepat terhadap diagnosis pasien ?","","Dokter melaporkan diagnosis penyakit pasien kepada pihak perusahaan","Dokter melaporkan diagnosis penyakit pasien kepada pihak perusahaan tanpa sepengetahuan pasien","Dokter melaporkan diagnosis penyakit pasien kepada pihak perusahaan pasien dengan informed consent pasien","Dokter melaporkan hasil pemeriksaan dan menyembunyikan diagnosis penyakit pasien kepada pihak perusahaan","Dokter tidak melaporkan diagnosis penyakit pasien kepada pihak perusahaan","C"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang dokter umum memasang iklan di web mengenai promosi obat penggugur kehamilan. Pelanggaran yang dilakukan oleh dokter adalah?","","Etik kedokteran","Pidana","Perdata","Pidana dan etik kedokteran","Administrasi","D"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang pasien laki-laki datang ke puskesmas bersama istrinya. Ternyata setelah berbagai macam pemeriksaan, didapatkan bahwa pasien mengidap sifilis stadium 3. Bagaimana sikap anda dalam menyampaikan diagnosis?","","Memberitahukan kepada istri pasien","Memberitahukan kepada pasien dan orang tua pasien","Memberitahukan kepada Pasien dan istrinya","Memberitahukan kepada pasien","Memberitahukan kepada pasien tanpa memberitahu istrinya","E"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Pasien laki-laki usia 60 tahun datang ke dokter praktek swasta diantar anaknya dengan keluhan kaki terasa nyeri. Dokter memberikan antalgin. Beberapa menit kemudian pasien berdebar, berkeringat dingin dan penurunan kesadaran. Dokter ingin memberikan epinefrin, tetapi habis. Pasien dibawa dokter untuk di rujuk ke rs, namun diperjalanan pasien meninggal. Keluarga pasien menuntut dokter atas tindakan malpraktek. Dibawah ini manakah pihak yang berwenang atas tuduhan keluarga?","","IDI","KKI","DINAS KESEHATAN","MKEK","MKDKI dan Pengadilan Negeri","E"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Perempuan 30 tahun datang ke dokter dengan keluhan sakit perut. Pasien minta dirujuk ke dokter spesialis penyakit dalam /bedah. Tetapi dokter merujuk pasien ke psikiatri, karena dari hasil pemeriksaan tidak didapatkan kelainan. Dokter menduga kelainan tersebut diakibatkan psikologis. Kaidah dasar etik yang dilakukan dokter ?","","Beneficence","Non-maleficence","Justice","Autonomy","Profesional","A"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Ny. Tini usia 70 tahun dalam keadaan sadar dirawat di RS dengan suspect kanker colon. Saat ini menunggu hasil biopsi. Keluarga meminta memberi tahu hasil ke mereka dahulu baru ke pasien karena alasan sangat sayang dan tidak mau membuat pasien semakin sedih dan stress. Dokter menuruti apa yang diminta keluarga. Kaidah dasar etik yang menjadi dasar dokter menuruti keluarga adalah?","","Justice","Beneficence","Non maleficence","Autonomy","Altruism","C"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang anak usia 5 tahun diantar ayahnya ke UGD RS dengan keluhan nanah yang keluar dari luka bekas operasi appendektomi 5 hari yang lalu. Setelah dilakukan pemeriksaan ulang, didapatkan kassa di dalam perut anak tersebut. Yang telah dilakukan oleh dokter adalah?","","Kelalaian medik","Malpraktik medik","Pelanggaran Kode Etik","Pelanggaran Hukum Perdata","Pelanggaran Hukum Pidana","A"
"Kedokteran","HKEK & FORENSIK","HKEK & FORENSIK","","pmb","Seorang laki laki, usia 30 tahun, datang ke praktik dokter umum dengan keluhan keluar cairan dari kemaluan sejak 1 minggu yang lalu. Pasien dicurigai menderita GO. Riwayat berhubungan dengan PSK. Dokter menyarankan untuk tidak berhubungan dengan istrinya. Kaidah dasar etik yang mendasari saran dokter tersebut?","","Non maleficence","Beneficence","Justise","Autonomy","Altruism","B"
