"Prodi","Topik Soal","Kategori Materi","Materi Soal","Tipe Soal","Soal","Deskripsi Soal","A","B","C","D","E","Jawaban"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Sifilis stadium 2","pmb","Seorang laki-laki berusia 25 tahun datang ke poliklinik dengan keluhan luka di penisnya sejak 3 hari yang lalu. Keluhan yang sama pernah dialami pasien 1 bulan sebelumnya di lokasi yang sama. Tidak ada keluhan keluar duhtubuh atau disuria. Pasien juga mengeluh rontok pada rambutnya dan ruam kemerahan pada telapak tangan dan kaki. Ditemukan ulkus bersih dengan indurasi, pus (-). Hasil tes dengan mikroskop lapang pandang gelap ditemukan organisme bentuk spiral. Apakah diagnosis pasien tersebut?","","Sifilis primer","Sifilis primer","Sifilis tersier","Late sifilis","Sifilis unidentified","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Bakterial Vaginosis","pmb","Seorang wanita 28 tahun datang ke poli kulit kelamin dengan keluhan keputihan yang berbau sejak 3 hari yang lalu. Riwayat pasien sering memakai pembersih kewanitaan sejak 1 bulan terakhir. Pada Pemeriksaan inspekulo didapatkan sekret yang berwarna putih keabuan dan berbau amis, pada pemeriksaan amin test didapatkan hasil positif. Apa tatalaksana yang tepat pada kasus di atas?","","Clindamycin 2 x 200 mg selama 7 hari","Metronidazole 3 x 500 mg selama 7 hari","Tinidazole 3 x 500 mg selama 7 hari","Metronidazole 2 g dosis tunggal","Ketoconazole 2 x 200 mg selama 7 hari","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Tinea capitis- non inflamasi","pmb","Seorang laki-laki usia 18 tahun datang ke dokter dengan keluhan terdapat sisik putih keabuan di kulit kepala sejak sekitar 12 bulan yang lalu, disertai gatal, rambut rapuh dan mudah patah. Pada pemeriksaan dermatologis di dapatkan lesi eritema minimal, skuama halus (+), putih keabuan, xerosis area vertex (+). Apakah etiologi keluhan yang paling sering pada kasus tersebut?","","Epidermophiton floccosum","Tricophyton schoenleinii","Tricophyton rubrum","Tricopyhton violaceum","Microsporum canis","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Urethritis Non-GO","pmb","Pasien laki-laki usia 42 tahun datang dengan keluhan adanya cairan yang keluar dari kemaluannya. keluhan sudah dirasakan sejak 5 hari yang lalu. Pasien juga mengeluhkan setiap pagi celana dalamnya tampak bekas cairan yang mengering. Tidak ada keluhan nyeri ataupun perih saat buang air kecil. Riwayat 2 minggu lalu habis kontak seksual dengan PSK. Pada pemeriksaan fisik didapatkan discharge mukoserous pada muara urethra eksterna. Apa etiologi yang paling mungkin untuk kasus di atas?","","Neisseria gonorrheae","Chlamydia trachomatis","Treponema pallidum","Haemophilus ducreyi","Streptococcus β haemolyticus grup A","b"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Tinea barbae","pmb","Seorang laki-laki berusia 23 tahun mengeluh gatal kemerahan di daerah dagu sejak 1 minggu yang lalu. Pasien memakai alat cukur teman satu kostnya 2 minggu sebelumnya karena belum sempat membeli yang baru. Pada pemeriksaan fisik ditemukan lesi aktif di tepi dengan central healing. Apakah terapi yang sesuai bagi pasien tersebut?","","Klotrimazole 2 %","Mikonazole 1 %","Terbinafin 2 %","Griseofulvin 1 x 1000 mg","Terbinafin 1 x 250 mg","d"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Thomson Test","pmb","Pasien laki-laki usia 37 tahun datang dengan keluhan nyeri saat buang air kecil yang dirasakan sejak 1 minggu ini. Awalnya pasien mengeluhkan adanya keluar cairan putih kental dari kemaluannya. Riwayat 2 minggu lalu habis berhubungan seksual dengan PSK. Pada pemeriksaan fisik didapatkan discharge mukopurulen pada muara urethra eksterna dan didapatkan tanda inflamasi, lalu dilakukan pemeriksaan gram dan didapatkan bakteri seperti biji kopi. Dokter melakukan pemeriksaan Thomson test dan hasilnya pada tabung pertama tampak keruh, dan pada tabung kedua tampak jernih. Apa diagnosis kasus pada pasien di atas?","","Urethritis anterior GO","Ureteritis anterior non-GO","Ureteritis anterior GO","Panurethritis GO","Urethritis posterior GO","a"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Tinea Facialis","pmb","Seorang remaja laki-laki 15 tahun datang ke klinik dengan keluhan gatal di area pipi dan dahi. Keluhan tersebut dirasakan sejak 4 hari yang lalu. Pasien sering bermain sepak bola bersama teman-temannya dan bertukar handuk saat selesai bermain. Pada pemeriksaan fisik didapatkan efloresensi tepi lesi papul eritema dengan central healing. Apakah diagnosis pada pasien ini?","","Tinea kapitis","Tinea korporis","Tinea Facialis","Dermatitis atopi","Dermatitis photosensitivity","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Hand-Foot-Mouth Disease","pmb","Pasien anak usia 9 tahun dibawa ibunya ke dokter dengan keluhan tampak bentol-bentol kemerahan pada kedua tangan dan kaki anaknya. Keluhan ini sudah dialami sejak 3 hari yang lalu. Anaknya tampak malas makan karena mengeluh nyeri saat menelan. Pada pemeriksaan tanda vital didapatkan HR 98 x/mnt, RR 20 x/mnt dan Tax 38 0C dan didapatkan effloresensi multiple papul eritema dan beberapa sudah menjadi vesikel pada daerah telapak tangan, telapak kaki dan juga terdapat beberapa pada rongga mulut pasien. Apa etiologi yang menyebabkan keluhan pasien di atas?","","VZV","HSV tipe 1","Coxsackievirus","HPV","Pox virus","c"
"kedokteran","Kulit Kelamin","Kulit Kelamin","Hand-Foot-Mouth Disease","pmb","Seorang laki-laki 35 tahun datang ke poliklinik dengan keluhan sangat gatal pada daerah atas kelamin dan perut sejak 5 hari yang lalu, terutama saat berkeringat. Pasien baru bertugas 1 minggu yang lalu kerja bakti membersihkan bantaran sungai dari sampah, namun tidak langsung mandi dan membersihkan diri setelahnya. Ruam muncul dari arah perut dan melebar. Pada pemeriksaan fisik didapatkan patch eritema dengan tepi lesi yang meninggi. Apakah diagnosis pada pasien ini?","","KOH 10 % + hifa pendek dengan arthrospora","KOH 10 % + hifa bersekat dengan blastospora","KOH 20 % + hifa pendek dengan blastospora","KOH 20% + Budding yeast dengan blastospora","KOH 20 % + Hifa panjang bersekat dengan arthrospora","e"
"kedokteran","Kulit Kelamin","Kulit Kelamin","-Kandidosis Vulvovaginalis","pmb","Seorang gadis usia 19 tahun datang diantar ibunya dengan keluhan keputihan yang sangat gatal serta bau tidak sedap pada kemaluan. Pasien Riwayat sering mencuci kemaluannya dengan produk-produk di supermarket. Pada pemeriksaan ditemukan keputihan berwarna putih kental seperti kepala susu di sekitar kemaluan pasien, eritema pada area vulva. Terapi yang paling tepat untuk pasien adalah?","","Itrakonazole 2 x 200 mg dosis tunggal","Klotrimazole 200 mg ovula selama 3 hari","Nystatin 100.000 IU ovula selama 3 hari","Ketokonazole 1 x 200 mg selama 5 hari","Griseofulvin 2 x 500 mg selama 10 hari","a"
